longitude,latitude,housing_median_age,total_bedrooms,population,median_income,Ocean,Inland,Island,Near_Bay,Near_Ocean,city
-118.02,33.93,35.0,398.0,1218.0,4.1312,1,0,0,0,0,78
-117.09,32.79,20.0,534.0,999.0,2.8631,0,0,0,0,1,77
-120.14,34.59,24.0,282.0,731.0,4.2026,0,0,0,0,1,88
-121.0,39.26,14.0,151.0,302.0,3.1094,0,1,0,0,0,214
-122.45,37.77,52.0,708.0,1526.0,3.3068,0,0,0,1,0,159
-117.33,33.17,11.0,2041.0,4773.0,4.0791,0,0,0,0,1,20
-122.03,36.96,28.0,421.0,926.0,2.425,0,0,0,0,1,174
-118.19,33.91,33.0,225.0,826.0,2.7708,1,0,0,0,0,92
-122.44,37.79,52.0,535.0,800.0,3.975,0,0,0,1,0,159
-116.46,33.82,6.0,920.0,3010.0,3.9508,0,1,0,0,0,22
-118.18,33.91,41.0,299.0,1535.0,3.0134,1,0,0,0,0,127
-120.1,36.21,12.0,356.0,1708.0,1.5086,0,1,0,0,0,64
-121.65,39.32,40.0,154.0,374.0,2.7891,0,1,0,0,0,214
-122.13,38.26,40.0,255.0,669.0,3.3281,0,0,0,1,0,51
-121.85,37.25,20.0,624.0,1965.0,5.4939,1,0,0,0,0,19
-120.95,37.59,43.0,354.0,862.0,1.8466,0,1,0,0,0,23
-117.28,34.15,38.0,343.0,796.0,3.8125,0,1,0,0,0,153
-118.36,33.9,42.0,388.0,1136.0,4.74,1,0,0,0,0,84
-122.35,37.93,41.0,75.0,198.0,3.2222,0,0,0,1,0,145
-122.02,37.36,24.0,437.0,892.0,4.9671,1,0,0,0,0,188
-117.25,33.03,6.0,493.0,1319.0,6.9326,0,0,0,0,1,48
-117.99,33.93,36.0,233.0,779.0,4.8523,1,0,0,0,0,78
-120.47,34.98,6.0,1115.0,2551.0,3.0723,1,0,0,0,0,175
-122.2,37.77,43.0,502.0,1537.0,2.898,0,0,0,1,0,0
-118.96,37.64,11.0,697.0,901.0,4.2381,0,1,0,0,0,29
-119.12,36.29,29.0,323.0,942.0,2.1731,0,1,0,0,0,202
-121.85,38.43,2.0,135.0,235.0,5.0862,0,1,0,0,0,198
-116.8,33.52,3.0,145.0,272.0,3.8281,0,1,0,0,0,67
-122.26,38.15,26.0,671.0,2388.0,4.0515,0,0,0,1,0,199
-121.03,37.67,24.0,459.0,1468.0,3.1857,0,1,0,0,0,103
-122.01,37.83,30.0,549.0,1330.0,6.5617,0,0,0,1,0,169
-121.22,38.68,10.0,1278.0,2954.0,3.4506,0,1,0,0,0,52
-117.23,32.74,35.0,525.0,1312.0,4.1339,0,0,0,0,1,157
-118.22,33.94,38.0,224.0,1155.0,3.3542,1,0,0,0,0,92
-122.09,37.07,33.0,734.0,1780.0,4.3429,0,0,0,0,1,174
-120.02,39.24,22.0,571.0,919.0,3.0057,0,1,0,0,0,52
-117.92,34.08,35.0,323.0,1011.0,3.5536,1,0,0,0,0,207
-118.74,34.26,27.0,545.0,1798.0,4.8717,1,0,0,0,0,183
-117.68,34.09,22.0,334.0,773.0,2.9812,0,1,0,0,0,105
-122.16,38.02,40.0,290.0,761.0,5.1265,0,0,0,1,0,97
-118.41,35.63,15.0,1257.0,2310.0,2.3125,0,1,0,0,0,6
-123.49,38.7,9.0,1019.0,594.0,3.3125,0,0,0,0,1,178
-118.35,33.98,47.0,461.0,1082.0,3.8235,1,0,0,0,0,74
-120.12,38.12,37.0,666.0,338.0,2.0625,0,1,0,0,0,103
-118.11,33.82,36.0,390.0,887.0,3.8162,1,0,0,0,0,90
-117.78,33.51,44.0,331.0,515.0,6.6178,1,0,0,0,0,81
-117.93,33.79,34.0,616.0,2138.0,5.2129,1,0,0,0,0,59
-117.22,32.95,4.0,3173.0,7301.0,6.357,0,0,0,0,1,48
-122.14,37.46,27.0,2009.0,4165.0,2.4375,0,0,0,1,0,126
-117.71,33.65,16.0,456.0,1587.0,8.6088,1,0,0,0,0,102
-117.66,34.06,39.0,339.0,1489.0,1.608,0,1,0,0,0,120
-120.65,35.27,27.0,341.0,768.0,4.2411,0,0,0,0,1,164
-117.09,32.57,10.0,368.0,1645.0,4.5547,0,0,0,0,1,72
-118.04,34.09,32.0,334.0,817.0,2.8333,0,1,0,0,0,190
-118.39,33.88,35.0,216.0,521.0,6.0441,1,0,0,0,0,94
-117.78,34.06,25.0,491.0,1807.0,2.2258,0,1,0,0,0,135
-122.41,37.75,52.0,576.0,1209.0,3.5912,0,0,0,1,0,159
-118.2,33.77,22.0,437.0,1190.0,1.9797,0,0,0,0,1,89
-121.92,37.26,33.0,259.0,762.0,4.5208,1,0,0,0,0,19
-121.67,37.13,19.0,483.0,1383.0,5.6205,1,0,0,0,0,61
-117.02,32.95,25.0,334.0,1043.0,3.7784,1,0,0,0,0,137
-118.1,34.09,46.0,525.0,1434.0,3.8906,1,0,0,0,0,160
-122.01,36.97,52.0,202.0,525.0,2.9444,0,0,0,0,1,174
-117.72,34.1,52.0,496.0,978.0,3.1477,0,1,0,0,0,28
-118.09,34.11,45.0,275.0,764.0,6.5078,1,0,0,0,0,160
-119.69,34.43,37.0,497.0,1150.0,5.8311,1,0,0,0,0,171
-116.97,33.74,31.0,628.0,1519.0,1.942,0,1,0,0,0,67
-121.32,37.94,36.0,10.0,64.0,2.625,0,1,0,0,0,187
-121.79,37.32,20.0,451.0,1669.0,6.2742,1,0,0,0,0,161
-118.17,33.77,45.0,797.0,1340.0,2.6786,0,0,0,0,1,89
-120.59,38.53,15.0,87.0,208.0,3.6125,0,1,0,0,0,52
-117.89,33.75,31.0,280.0,1476.0,4.0231,1,0,0,0,0,170
-122.0,37.99,28.0,641.0,1881.0,5.4607,0,1,0,0,0,32
-121.32,38.02,23.0,689.0,1890.0,3.0729,0,1,0,0,0,187
-118.35,33.95,30.0,765.0,2324.0,3.0519,1,0,0,0,0,74
-119.74,36.83,14.0,829.0,2235.0,4.1098,0,1,0,0,0,29
-123.38,41.8,25.0,477.0,1000.0,2.2976,0,1,0,0,0,50
-122.34,37.95,44.0,317.0,806.0,3.0694,0,0,0,1,0,167
-119.2,34.25,18.0,643.0,1973.0,3.8162,0,0,0,0,1,200
-121.0,39.16,10.0,225.0,537.0,3.2813,0,1,0,0,0,150
-117.96,33.88,25.0,461.0,1588.0,6.2556,1,0,0,0,0,58
-117.29,33.18,17.0,176.0,436.0,3.1667,0,0,0,0,1,203
-122.03,37.95,14.0,793.0,1601.0,3.1719,0,0,0,1,0,133
-118.27,34.01,42.0,289.0,1167.0,1.4524,1,0,0,0,0,71
-118.34,33.8,34.0,427.0,1008.0,3.9408,1,0,0,0,0,182
-116.24,33.76,9.0,595.0,966.0,3.8125,0,1,0,0,0,73
-117.27,34.23,26.0,1244.0,1177.0,3.7708,0,1,0,0,0,69
-117.75,33.61,17.0,566.0,781.0,3.1779,1,0,0,0,0,102
-118.2,33.87,36.0,273.0,974.0,4.2135,1,0,0,0,0,31
-122.21,38.11,35.0,400.0,1189.0,3.0962,0,0,0,1,0,199
-117.2,32.8,36.0,1067.0,1620.0,2.3599,0,0,0,0,1,157
-118.11,33.82,36.0,340.0,857.0,4.6875,1,0,0,0,0,90
-118.14,34.17,42.0,713.0,2112.0,2.7148,1,0,0,0,0,128
-118.29,34.06,46.0,1012.0,2716.0,2.1637,1,0,0,0,0,91
-121.33,37.97,43.0,292.0,721.0,3.5703,0,1,0,0,0,187
-117.89,33.62,24.0,238.0,465.0,3.0625,1,0,0,0,0,35
-117.65,34.06,41.0,130.0,349.0,2.0893,0,1,0,0,0,120
-120.6,37.34,34.0,431.0,1304.0,2.1182,0,1,0,0,0,100
-117.99,33.88,42.0,302.0,986.0,3.9559,1,0,0,0,0,15
-121.99,37.92,14.0,224.0,764.0,9.0243,0,1,0,0,0,205
-119.65,37.32,11.0,448.0,820.0,2.3565,0,1,0,0,0,93
-118.94,35.41,10.0,526.0,1539.0,6.3639,0,1,0,0,0,6
-118.41,34.02,35.0,442.0,1161.0,3.725,1,0,0,0,0,37
-118.43,34.29,38.0,347.0,1384.0,2.865,1,0,0,0,0,173
-122.2,39.51,37.0,413.0,1060.0,2.8333,0,1,0,0,0,25
-120.21,36.77,20.0,348.0,1093.0,2.3194,0,1,0,0,0,93
-119.18,34.23,16.0,1220.0,2147.0,3.375,0,0,0,0,1,122
-122.84,38.98,21.0,176.0,556.0,1.7196,0,1,0,0,0,178
-123.02,38.81,45.0,389.0,916.0,3.2425,1,0,0,0,0,178
-117.15,34.04,14.0,420.0,1172.0,7.5822,0,1,0,0,0,141
-117.89,33.92,14.0,373.0,609.0,2.3935,1,0,0,0,0,14
-122.1,37.36,35.0,266.0,676.0,8.5294,0,0,0,1,0,111
-118.43,34.3,37.0,313.0,1111.0,3.6023,1,0,0,0,0,173
-121.99,36.99,29.0,507.0,1476.0,5.8123,0,0,0,0,1,174
-118.37,34.02,44.0,458.0,981.0,2.6154,1,0,0,0,0,37
-119.71,36.77,11.0,1384.0,2487.0,2.1461,0,1,0,0,0,57
-119.29,36.32,27.0,374.0,839.0,1.2012,0,1,0,0,0,202
-123.01,38.67,33.0,147.0,394.0,4.6875,1,0,0,0,0,178
-121.78,37.68,17.0,872.0,1392.0,3.0222,0,1,0,0,0,86
-118.39,34.0,40.0,269.0,826.0,5.2035,1,0,0,0,0,37
-119.8,36.75,46.0,593.0,1368.0,1.5273,0,1,0,0,0,57
-122.01,37.18,37.0,652.0,1534.0,5.8596,1,0,0,0,0,180
-121.85,37.68,4.0,741.0,1895.0,6.8132,0,1,0,0,0,134
-119.29,34.24,27.0,775.0,1682.0,6.194,0,0,0,0,1,200
-118.14,33.75,39.0,634.0,867.0,4.0795,0,0,0,0,1,181
-117.35,34.17,28.0,372.0,1480.0,2.9844,0,1,0,0,0,144
-118.3,34.04,35.0,345.0,1605.0,2.1518,1,0,0,0,0,91
-120.06,36.97,38.0,364.0,1220.0,1.625,0,1,0,0,0,93
-118.56,34.03,34.0,343.0,662.0,8.2934,1,0,0,0,0,176
-118.5,34.03,32.0,1784.0,2767.0,3.6451,1,0,0,0,0,176
-118.35,33.91,26.0,523.0,1331.0,3.87,1,0,0,0,0,65
-122.08,39.25,52.0,38.0,120.0,3.017,0,1,0,0,0,214
-122.11,37.05,18.0,549.0,1449.0,5.1412,0,0,0,0,1,174
-119.82,36.75,41.0,209.0,741.0,2.0781,0,1,0,0,0,57
-122.05,37.95,27.0,791.0,1875.0,3.1838,0,0,0,1,0,133
-118.17,33.84,45.0,328.0,945.0,5.0787,1,0,0,0,0,82
-121.29,38.14,34.0,544.0,1409.0,3.2338,0,1,0,0,0,87
-122.41,37.78,52.0,72.0,153.0,3.8625,0,0,0,1,0,159
-122.66,39.03,27.0,329.0,594.0,1.165,0,1,0,0,0,178
-119.17,34.2,36.0,523.0,2751.0,3.015,0,0,0,0,1,122
-121.99,37.53,25.0,939.0,2831.0,5.0423,1,0,0,0,0,56
-122.59,38.04,25.0,455.0,1238.0,8.3646,0,0,0,1,0,117
-123.41,41.6,23.0,369.0,669.0,1.965,0,1,0,0,0,50
-122.5,37.74,44.0,470.0,1154.0,4.3611,0,0,0,0,1,40
-118.41,33.77,22.0,991.0,2808.0,10.06,0,0,0,0,1,139
-121.04,37.65,8.0,379.0,995.0,3.3567,0,1,0,0,0,103
-121.49,38.55,52.0,460.0,836.0,3.3844,0,1,0,0,0,151
-118.21,33.95,35.0,614.0,2376.0,2.0372,1,0,0,0,0,184
-119.27,34.44,22.0,711.0,1483.0,2.7019,1,0,0,0,0,200
-121.94,37.31,5.0,578.0,1102.0,5.2642,1,0,0,0,0,39
-121.78,38.67,38.0,478.0,1123.0,4.0556,0,1,0,0,0,212
-117.95,33.63,29.0,282.0,463.0,6.0516,1,0,0,0,0,115
-122.31,40.49,18.0,718.0,1731.0,3.35,0,1,0,0,0,140
-119.53,36.65,43.0,320.0,1056.0,2.5562,0,1,0,0,0,57
-121.93,37.31,29.0,430.0,969.0,2.6573,1,0,0,0,0,39
-118.27,34.15,22.0,637.0,1684.0,2.6729,1,0,0,0,0,109
-117.93,33.76,24.0,703.0,3308.0,4.1577,1,0,0,0,0,59
-118.33,34.24,31.0,1188.0,3540.0,4.2639,1,0,0,0,0,16
-121.91,37.33,52.0,563.0,1195.0,2.894,1,0,0,0,0,161
-117.86,33.88,19.0,328.0,871.0,3.7361,1,0,0,0,0,132
-122.68,38.46,17.0,527.0,1244.0,4.7143,1,0,0,0,0,178
-118.21,33.91,26.0,632.0,2601.0,1.7824,1,0,0,0,0,31
-118.32,33.95,43.0,708.0,1505.0,3.1719,1,0,0,0,0,74
-118.48,34.2,26.0,559.0,1545.0,2.8974,1,0,0,0,0,13
-122.08,37.63,31.0,171.0,548.0,3.7614,0,0,0,1,0,66
-121.07,38.94,14.0,294.0,839.0,4.7143,0,1,0,0,0,150
-122.11,37.41,27.0,1599.0,2764.0,3.4198,0,0,0,1,0,111
-118.42,33.92,41.0,279.0,756.0,5.0594,1,0,0,0,0,94
-118.18,33.95,42.0,610.0,2062.0,3.5341,1,0,0,0,0,184
-124.08,40.94,18.0,345.0,941.0,2.3147,0,0,0,0,1,50
